date,#,filename,path,type,CWT,FIR,LabView ver,Py_version,project,hard_exclude,mouse_id,patch_site,best_frequency,tuning,tuning_from,need_checking,intrinsic_check,tuning_check,final_inclusion,fs_neuron
20220304,2,20220304_002,E:\in-vivo_patch\20220304/20220304_002_.tdms,Log sFM,no,20220215,1.1,2,Ic,exclude,,,,,,,,,,
20220304,3,20220304_003,E:\in-vivo_patch\20220304/20220304_003_.tdms,Pure Tones,no,20220215,1.1,2,Ic,exclude,,,,,,,,,,
20220304,4,20220304_004,E:\in-vivo_patch\20220304/20220304_004_.tdms,Log sFM,no,20220215,1.1,2,Ic,exclude,,,,,,,,,,
20220512,1,20220512_001,E:\in-vivo_patch\20220512/20220512_001_.tdms,Pure Tones,no,20220419,1.1,2,Ic,exclude,,,,,,,,,,
20220527,1,20220527_001,E:\in-vivo_patch\20220527/20220527_001_.tdms,Pure Tones,no,20220419,1.1,2,Ic,exclude,,,,,,,,,,
20220527,2,20220527_002,E:\in-vivo_patch\20220527/20220527_002_.tdms,Log sFM,no,20220419,1.1,2,Ic,exclude,,,,,,,,,,
20220527,3,20220527_003,E:\in-vivo_patch\20220527/20220527_003_.tdms,Log sFM,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220527,4,20220527_004,E:\in-vivo_patch\20220527/20220527_004_.tdms,Pure Tones,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220527,5,20220527_005,E:\in-vivo_patch\20220527/20220527_005_.tdms,Log sFM,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220527,6,20220527_006,E:\in-vivo_patch\20220527/20220527_006_.tdms,Log sFM,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220527,7,20220527_007,E:\in-vivo_patch\20220527/20220527_007_.tdms,Pure Tones,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220527,8,20220527_008,E:\in-vivo_patch\20220527/20220527_008_.tdms,Log sFM,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220616,1,20220616_001,E:\in-vivo_patch\20220616/20220616_001_.tdms,Pure Tones,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220616,2,20220616_002,E:\in-vivo_patch\20220616/20220616_002_.tdms,Log sFM,no,20220419,1.1,2,Ic,,,,,,,,,,,
20220617,2,20220617_002,E:\in-vivo_patch\20220617/20220617_002_.tdms,Pure Tones,no,20220616,1.1,2,Ic,exclude,,,,,,,,,,
20220617,3,20220617_003,E:\in-vivo_patch\20220617/20220617_003_.tdms,Pure Tones,no,20220616,1.1,2,Ic,,,,,,,,,,,
20220617,4,20220617_004,E:\in-vivo_patch\20220617/20220617_004_.tdms,Log sFM,no,20220616,1.1,2,Ic,,,,,,,,,,,
20220617,5,20220617_005,E:\in-vivo_patch\20220617/20220617_005_.tdms,Log sFM,no,20220616,1.1,2,Ic,,,,,,,,,,,
20220805,1,20220805_001,E:\in-vivo_patch\20220805/20220805_001_.tdms,Pure Tones,no,20220616,1.5,3,Ic,,,,,,,,,,,
20220811,1,20220811_001,E:\in-vivo_patch\20220811/20220811_001_.tdms,Pure Tones,no,20220616,1.5,3,Ic,,,,,,,,,,,
20220826,1,20220826_001,E:\in-vivo_patch\20220826/20220826_001_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220826,2,20220826_002,E:\in-vivo_patch\20220826/20220826_002_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220826,3,20220826_003,E:\in-vivo_patch\20220826/20220826_003_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220826,4,20220826_004,E:\in-vivo_patch\20220826/20220826_004_.tdms,Pure Tones,no,20220825,1.5,3,Ic,exclude,,,,,,,,,,
20220826,5,20220826_005,E:\in-vivo_patch\20220826/20220826_005_.tdms,Log sFM,no,20220825,1.5,3,Ic,exclude,,,,,,,,,,
20220914,2,20220914_002,E:\in-vivo_patch\20220914/20220914_002_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220914,3,20220914_003,E:\in-vivo_patch\20220914/20220914_003_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220914,4,20220914_004,E:\in-vivo_patch\20220914/20220914_004_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220914,5,20220914_005,E:\in-vivo_patch\20220914/20220914_005_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220914,6,20220914_006,E:\in-vivo_patch\20220914/20220914_006_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220914,7,20220914_007,E:\in-vivo_patch\20220914/20220914_007_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220915,1,20220915_001,E:\in-vivo_patch\20220915/20220915_001_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220915,2,20220915_002,E:\in-vivo_patch\20220915/20220915_002_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220915,3,20220915_003,E:\in-vivo_patch\20220915/20220915_003_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20220915,4,20220915_004,E:\in-vivo_patch\20220915/20220915_004_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221005,1,20221005_001,E:\in-vivo_patch\20221005/20221005_001_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221005,2,20221005_002,E:\in-vivo_patch\20221005/20221005_002_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,1,20221024_001,E:\in-vivo_patch\20221024/20221024_001_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,2,20221024_002,E:\in-vivo_patch\20221024/20221024_002_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,3,20221024_003,E:\in-vivo_patch\20221024/20221024_003_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,4,20221024_004,E:\in-vivo_patch\20221024/20221024_004_.tdms,Pure Tones,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,5,20221024_005,E:\in-vivo_patch\20221024/20221024_005_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20221024,6,20221024_006,E:\in-vivo_patch\20221024/20221024_006_.tdms,Log sFM,no,20220825,1.5,3,Ic,,,,,,,,,,,
20230303,1,20230303_001,E:\in-vivo_patch\20230303/20230303_001_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230303,2,20230303_002,E:\in-vivo_patch\20230303/20230303_002_.tdms,Pure Tones,no,20221026,1.6,3,Vc,exclude,,,,,,,,,,
20230303,4,20230303_004,E:\in-vivo_patch\20230303/20230303_004_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230303,5,20230303_005,E:\in-vivo_patch\20230303/20230303_005_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,1,20230306_001,E:\in-vivo_patch\20230306/20230306_001_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,2,20230306_002,E:\in-vivo_patch\20230306/20230306_002_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,3,20230306_003,E:\in-vivo_patch\20230306/20230306_003_.tdms,Log sFM,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,4,20230306_004,E:\in-vivo_patch\20230306/20230306_004_.tdms,Log sFM,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,5,20230306_005,E:\in-vivo_patch\20230306/20230306_005_.tdms,Log sFM,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,6,20230306_006,E:\in-vivo_patch\20230306/20230306_006_.tdms,Log sFM,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,7,20230306_007,E:\in-vivo_patch\20230306/20230306_007_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230306,8,20230306_008,E:\in-vivo_patch\20230306/20230306_008_.tdms,Pure Tones,no,20221026,1.6,3,Vc,,,,,,,,,,,
20230321,1,20230321_001,E:\in-vivo_patch\20230321/20230321_001_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230321,2,20230321_002,E:\in-vivo_patch\20230321/20230321_002_.tdms,Pure Tones,no,20230320,1.6,3,Vc,exclude,,,,,,,,,,
20230328,1,20230328_001,E:\in-vivo_patch\20230328/20230328_001_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,2,20230328_002,E:\in-vivo_patch\20230328/20230328_002_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,3,20230328_003,E:\in-vivo_patch\20230328/20230328_003_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,4,20230328_004,E:\in-vivo_patch\20230328/20230328_004_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,5,20230328_005,E:\in-vivo_patch\20230328/20230328_005_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,6,20230328_006,E:\in-vivo_patch\20230328/20230328_006_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,7,20230328_007,E:\in-vivo_patch\20230328/20230328_007_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230328,8,20230328_008,E:\in-vivo_patch\20230328/20230328_008_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230410,1,20230410_001,E:\in-vivo_patch\20230410/20230410_001_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230410,2,20230410_002,E:\in-vivo_patch\20230410/20230410_002_.tdms,Pure Tones,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230410,3,20230410_003,E:\in-vivo_patch\20230410/20230410_003_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230410,4,20230410_004,E:\in-vivo_patch\20230410/20230410_004_.tdms,Log sFM,no,20230320,1.6,3,Vc,,,,,,,,,,,
20230412,1,20230412_001,E:\in-vivo_patch\20230412/20230412_001_.tdms,Pure Tones,no,20230320,1.6,3,Vc,exclude,,,,,,,,,,
20230412,2,20230412_002,E:\in-vivo_patch\20230412/20230412_002_.tdms,Pure Tones,no,20230320,1.6,3,Vc,exclude,,,,,,,,,,
